,学校名,考试方式,院系所,专业,研究方向,学习方式,拟招生人数,政治,外语,业务课一,业务课二
1660,,统考,(018)微电子学院,(085400)(专业学位)电子信息,(00)不区分研究方向,全日制,"('专业：23(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(882)半导体物理与器件
1661,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(887)信号与系统基础
1663,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(887)信号与系统基础
1664,,统考,(019)网络空间安全学院,(085400)(专业学位)电子信息,(01)网络空间安全,全日制,"('专业：43(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(847)计算机原理及网络
1665,,统考,(020)民航学院,(085400)(专业学位)电子信息,(01)综合航电系统与机载实时网络,全日制,"('专业：6(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(821)自动控制原理
1666,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(827)信号与系统
1667,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(844)自动化检测技术
1668,,统考,(020)民航学院,(085400)(专业学位)电子信息,(02)无人系统智能飞行控制,全日制,"('专业：6(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(821)自动控制原理
1669,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(827)信号与系统
1670,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(844)自动化检测技术
1671,,统考,(020)民航学院,(085400)(专业学位)电子信息,(03)航空通信导航与监视系统,全日制,"('专业：6(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(821)自动控制原理
1672,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(827)信号与系统
1673,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(844)自动化检测技术
1674,,统考,(020)民航学院,(085400)(专业学位)电子信息,(04)飞行器预测与健康管理技术,全日制,"('专业：6(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(821)自动控制原理
1675,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(827)信号与系统
1676,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(844)自动化检测技术
1677,,统考,(020)民航学院,(085400)(专业学位)电子信息,(05)机载系统安全与适航技术,全日制,"('专业：6(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(821)自动控制原理
1678,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(827)信号与系统
1679,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(844)自动化检测技术
1680,,统考,(021)无人系统技术研究院,(085400)(专业学位)电子信息,(01)无人系统智能化协同设计,全日制,"('专业：13(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(883)力学综合
1681,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(884)无人系统控制技术
1682,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(885)信息与通信
1683,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(886)计算机与智能专业基础综合
1684,,统考,(021)无人系统技术研究院,(085400)(专业学位)电子信息,(02)无人系统智能感知与认知,全日制,"('专业：13(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(883)力学综合
1685,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(884)无人系统控制技术
1686,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(885)信息与通信
1687,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(886)计算机与智能专业基础综合
1688,,统考,(021)无人系统技术研究院,(085400)(专业学位)电子信息,(03)无人系统自主智能,全日制,"('专业：13(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(883)力学综合
1689,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(884)无人系统控制技术
1690,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(885)信息与通信
1691,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(886)计算机与智能专业基础综合
1692,,统考,(021)无人系统技术研究院,(085400)(专业学位)电子信息,(04)无人系统群体智能,全日制,"('专业：13(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(883)力学综合
1693,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(884)无人系统控制技术
1694,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(885)信息与通信
1695,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(886)计算机与智能专业基础综合
1696,,统考,(025)物理科学与技术学院,(085400)(专业学位)电子信息,(01)光学工程,全日制,"('专业：20(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(823)固体物理
1697,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(828)光学
1698,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(854)电动力学
1699,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(876)普通物理
1700,,统考,(028)柔性电子研究院,(085400)(专业学位)电子信息,(01)柔性电子器件集成技术,全日制,"('专业：15(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(827)信号与系统
1701,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(828)光学
1702,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(845)电路基础
1703,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(846)传感与计算机控制系统
1704,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(852)综合控制原理
1705,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(882)半导体物理与器件
1706,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(887)信号与系统基础
