,学校名,考试方式,院系所,专业,研究方向,学习方式,拟招生人数,政治,外语,业务课一,业务课二
0,北京大学,,,,,,,,,,
1,,统考,(004)物理学院,(085400)(专业学位)电子信息,(00)不区分研究方向,全日制,"('专业：3(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(805)普通物理
2,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(01)软件工程,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(839)计算机基础综合
3,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(02)网络安全,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(839)计算机基础综合
4,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(03)智能科技,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(839)计算机基础综合
5,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(04)软件工程实验班,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(839)计算机基础综合
6,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(05)集成电路,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(858)电子信息基础
7,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(06)电子通信,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(858)电子信息基础
8,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(07)集成电路实验班,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(858)电子信息基础
9,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(08)金融科技,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(302)数学二,(857)经济学综合
10,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(09)计算机技术,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(859)数字艺术综合
11,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(886)语言信息综合
12,中国人民大学,,,,,,,,,,
13,,统考,(159)信息学院（专业学位）,(085400)(专业学位)电子信息,(01)全日在校学习,全日制,"('专业：21(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(408)计算机学科专业基础综合
15,清华大学,,,,,,,,,,
16,,统考,(013)精密仪器系,(085400)(专业学位)电子信息,(01)超精密技术,全日制,"('专业：12(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(822)控制工程基础
17,,统考,(013)精密仪器系,(085400)(专业学位)电子信息,(02)智能装备设计与制造,全日制,"('专业：12(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(822)控制工程基础
18,,统考,(013)精密仪器系,(085400)(专业学位)电子信息,(03)微系统工程,全日制,"('专业：12(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(822)控制工程基础
19,,统考,(023)电子工程系,(085400)(专业学位)电子信息,(01)电子与通信工程（电子信息创新创业）,全日制,"('专业：25(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(957)电子信息科学专业基础（含信号与系统和电?
20,,统考,(025)自动化系,(085400)(专业学位)电子信息,(01)大数据工程,全日制,"('专业：15(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(827)电路原理
21,,统考,(026)微电子与纳电子学系,(085400)(专业学位)电子信息,(01)集成电路工程,全日制,"('专业：44(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(832)半导体器件与电子电路
22,,统考,(026)微电子与纳电子学系,(085400)(专业学位)电子信息,(02)集成电路技术与管理,全日制,"('专业：44(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(832)半导体器件与电子电路
23,,统考,(400)医学院,(085400)(专业学位)电子信息,(01)电子信息（电子与通信工程）,全日制,"('专业：1(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(957)电子信息科学专业基础（含信号与系统和电?
24,,统考,(400)医学院,(085400)(专业学位)电子信息,(02)生物医学工程,全日制,"('专业：1(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(985)信号与系统
25,,统考,(410)软件学院,(085400)(专业学位)电子信息,(01)软件工程(工程),全日制,"('专业：8(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(914)软件工程基础综合
26,,统考,(599)清华大学深圳国际研究生院,(085400)(专业学位)电子信息,(01)电子与通信工程,全日制,"('专业：250(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(985)信号与系统
27,,统考,(599)清华大学深圳国际研究生院,(085400)(专业学位)电子信息,(02)计算机技术,全日制,"('专业：250(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(912)计算机专业基础综合
28,,统考,(599)清华大学深圳国际研究生院,(085400)(专业学位)电子信息,(03)人工智能,全日制,"('专业：250(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(827)电路原理
29,,统考,(599)清华大学深圳国际研究生院,(085400)(专业学位)电子信息,(04)大数据工程,全日制,"('专业：250(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(962)数学-数据方向基础综合
30,,统考,(599)清华大学深圳国际研究生院,(085400)(专业学位)电子信息,(05)互动媒体设计与技术,全日制,"('专业：250(不含推免)',6",(101)思想政治理论,(201)英语一,(302)数学二,(971)互联网+创新设计专业基础综合
31,,统考,(599)清华大学深圳国际研究生院,(085400)(专业学位)电子信息,(06)生物医学工程,全日制,"('专业：250(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(985)信号与系统
32,,统考,(599)清华大学深圳国际研究生院,(085400)(专业学位)电子信息,(07)仪器仪表工程,全日制,"('专业：250(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(822)控制工程基础
33,,统考,(599)清华大学深圳国际研究生院,(085400)(专业学位)电子信息,(08)智能制造,全日制,"('专业：250(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(822)控制工程基础
34,,统考,(599)清华大学深圳国际研究生院,(085400)(专业学位)电子信息,(09)海洋技术与工程,全日制,"('专业：250(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(827)电路原理
35,,统考,(599)清华大学深圳国际研究生院,(085400)(专业学位)电子信息,(10)互联网+创新设计,全日制,"('专业：250(不含推免)',6",(101)思想政治理论,(201)英语一,(302)数学二,(971)互联网+创新设计专业基础综合
36,,统考,(599)清华大学深圳国际研究生院,(085400)(专业学位)电子信息,(11)集成电路与系统,全日制,"('专业：250(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(985)信号与系统
37,北京航空航天大学,,,,,,,,,,
38,,统考,(002)电子信息工程学院,(085400)(专业学位)电子信息,(00)不区分研究方向,全日制,"('专业：71(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(871)光学工程综合
39,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(921)通信类专业综合
40,,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,(01)控制理论与控制工程,全日制,"('专业：54(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
41,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(933)控制工程综合
42,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(935)电气工程综合
43,,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,(02)模式识别与智能系统,全日制,"('专业：54(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
44,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(933)控制工程综合
45,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(935)电气工程综合
46,,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,(03)自动测试与智能检测,全日制,"('专业：54(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
47,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(933)控制工程综合
48,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(935)电气工程综合
49,,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,(04)智能仪器与智能机器人,全日制,"('专业：54(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
50,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(933)控制工程综合
51,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(935)电气工程综合
52,,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,(05)导航、制导与控制,全日制,"('专业：54(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
53,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(933)控制工程综合
54,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(935)电气工程综合
55,,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,(06)系统智能与自动化安全,全日制,"('专业：54(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
56,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(933)控制工程综合
57,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(935)电气工程综合
58,,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,(07)系统仿真与智慧制造,全日制,"('专业：54(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
59,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(933)控制工程综合
60,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(935)电气工程综合
61,,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,(08)电气工程,全日制,"('专业：54(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
62,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(933)控制工程综合
63,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(935)电气工程综合
64,,统考,(006)计算机学院,(085400)(专业学位)电子信息,(00)不区分研究方向,全日制,"('专业：55(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(961)计算机基础综合
65,,统考,(014)可靠性与系统工程学院,(085400)(专业学位)电子信息,(01)可靠性系统工程,全日制,"('专业：26(不含推免)',6",(101)思想政治理论,(204)英语二,(301)数学一,(841)概率统计与可靠性工程基础
66,,,,,,,,(101)思想政治理论,(204)英语二,(301)数学一,(931)自动控制原理综合
67,,,,,,,,(101)思想政治理论,(204)英语二,(301)数学一,(942)机械设计综合
68,,,,,,,,(101)思想政治理论,(204)英语二,(301)数学一,(951)力学基础
69,,统考,(015)宇航学院,(085400)(专业学位)电子信息,(01)模式识别与智能系统,全日制,"('专业：12(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
70,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(951)力学基础
71,,统考,(015)宇航学院,(085400)(专业学位)电子信息,(02)导航制导与控制技术,全日制,"('专业：12(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
72,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(951)力学基础
73,,统考,(017)仪器科学与光电工程学院,(085400)(专业学位)电子信息,(01)精密仪器及机械,全日制,"('专业：31(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(871)光学工程综合
74,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(872)摄影测量与遥感综合
75,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(873)仪器综合
76,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
77,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(871)光学工程综合
78,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(872)摄影测量与遥感综合
79,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(873)仪器综合
80,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(931)自动控制原理综合
81,,统考,(017)仪器科学与光电工程学院,(085400)(专业学位)电子信息,(02)测试计量技术及仪器,全日制,"('专业：31(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(871)光学工程综合
82,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(872)摄影测量与遥感综合
83,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(873)仪器综合
84,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
85,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(871)光学工程综合
86,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(872)摄影测量与遥感综合
87,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(873)仪器综合
88,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(931)自动控制原理综合
89,,统考,(017)仪器科学与光电工程学院,(085400)(专业学位)电子信息,(03)光电探测技术及仪器,全日制,"('专业：31(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(871)光学工程综合
90,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(872)摄影测量与遥感综合
91,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(873)仪器综合
92,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
93,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(871)光学工程综合
94,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(872)摄影测量与遥感综合
95,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(873)仪器综合
96,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(931)自动控制原理综合
97,,统考,(017)仪器科学与光电工程学院,(085400)(专业学位)电子信息,(04)光电信息技术,全日制,"('专业：31(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(871)光学工程综合
98,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(872)摄影测量与遥感综合
99,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(873)仪器综合
100,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
101,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(871)光学工程综合
102,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(872)摄影测量与遥感综合
103,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(873)仪器综合
104,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(931)自动控制原理综合
105,,统考,(019)物理学院,(085400)(专业学位)电子信息,(00)不区分研究方向,全日制,"('专业：6(不含推免)',6",(101)思想政治理论,(201)英语一,(302)数学二,(892)普通物理综合
106,,统考,(021)软件学院,(085400)(专业学位)电子信息,(00)不区分研究方向,全日制,"('专业：8(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(991)数据结构与C语言程序设计
108,,统考,(024)中法工程师学院,(085400)(专业学位)电子信息,(01)国际通用工程师,全日制,"('专业：5(不含推免)',6",(101)思想政治理论,(242)法语（工程）,(302)数学二,(994)工业科学综合
109,,统考,(039)网络空间安全学院,(085400)(专业学位)电子信息,(00)不区分研究方向,全日制,"('专业：6(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(840)网络空间安全专业综合
110,,统考,(041)微电子学院,(085400)(专业学位)电子信息,(00)不区分研究方向,全日制,"('专业：15(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(921)通信类专业综合
111,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(961)计算机基础综合
113,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(961)计算机基础综合
114,,统考,(043)前沿科学技术创新研究院,(085400)(专业学位)电子信息,(01)量子精密测量与传感,全日制,"('专业：27(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(871)光学工程综合
115,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(872)摄影测量与遥感综合
116,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(873)仪器综合
117,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(921)通信类专业综合
118,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
119,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(871)光学工程综合
120,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(872)摄影测量与遥感综合
121,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(873)仪器综合
122,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(921)通信类专业综合
123,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(931)自动控制原理综合
124,,统考,(043)前沿科学技术创新研究院,(085400)(专业学位)电子信息,(02)新型惯性仪表与系统技术,全日制,"('专业：27(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(871)光学工程综合
125,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(872)摄影测量与遥感综合
126,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(873)仪器综合
127,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(921)通信类专业综合
128,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
129,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(871)光学工程综合
130,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(872)摄影测量与遥感综合
131,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(873)仪器综合
132,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(921)通信类专业综合
133,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(931)自动控制原理综合
134,,统考,(043)前沿科学技术创新研究院,(085400)(专业学位)电子信息,(03)磁悬浮技术与智能机电装备,全日制,"('专业：27(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(871)光学工程综合
135,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(872)摄影测量与遥感综合
136,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(873)仪器综合
137,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(921)通信类专业综合
138,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
139,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(871)光学工程综合
140,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(872)摄影测量与遥感综合
141,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(873)仪器综合
142,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(921)通信类专业综合
143,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(931)自动控制原理综合
144,,统考,(043)前沿科学技术创新研究院,(085400)(专业学位)电子信息,(04)电磁兼容与电磁环境,全日制,"('专业：27(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(871)光学工程综合
145,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(872)摄影测量与遥感综合
146,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(873)仪器综合
147,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(921)通信类专业综合
148,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(931)自动控制原理综合
149,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(871)光学工程综合
150,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(872)摄影测量与遥感综合
151,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(873)仪器综合
152,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(921)通信类专业综合
153,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(931)自动控制原理综合
154,北京理工大学,,,,,,,,,,
155,,统考,(204)光电学院,(085400)(专业学位)电子信息,(02)光学工程,全日制,"('专业：41(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(811)电子技术（含模拟数字部分）
156,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(819)物理光学
157,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(820)应用光学
158,,统考,(204)光电学院,(085400)(专业学位)电子信息,(08)仪器仪表工程,全日制,"('专业：41(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(818)精密机械设计
159,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(819)物理光学
160,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(820)应用光学
162,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(819)物理光学
163,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(820)应用光学
164,,统考,(205)信息与电子学院,(085400)(专业学位)电子信息,(01)电子与通信工程,全日制,"('专业：90(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(826)信号处理导论
165,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(882)电路、信号与系统
166,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(887)电子科学与技术基础
168,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(882)电路、信号与系统
169,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(887)电子科学与技术基础
170,,统考,(205)信息与电子学院,(085400)(专业学位)电子信息,(03)集成电路工程,全日制,"('专业：90(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(887)电子科学与技术基础
171,,统考,(206)自动化学院,(085400)(专业学位)电子信息,(05)控制工程,全日制,"('专业：44(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(810)自动控制理论
172,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(811)电子技术（含模拟数字部分）
173,,,,,,,,(101)思想政治理论,(202)俄语,(301)数学一,(810)自动控制理论
174,,,,,,,,(101)思想政治理论,(202)俄语,(301)数学一,(811)电子技术（含模拟数字部分）
175,,,,,,,,(101)思想政治理论,(203)日语,(301)数学一,(810)自动控制理论
176,,,,,,,,(101)思想政治理论,(203)日语,(301)数学一,(811)电子技术（含模拟数字部分）
177,,统考,(207)计算机学院,(085400)(专业学位)电子信息,(04)计算机技术,全日制,"('专业：75(不含推免)',6",(101)思想政治理论,(201)英语一,(302)数学二,(889)计算机技术专业基础综合
178,,统考,(207)计算机学院,(085400)(专业学位)电子信息,(06)软件工程,全日制,"('专业：75(不含推免)',6",(101)思想政治理论,(201)英语一,(302)数学二,(885)软件工程专业基础综合
179,,统考,(216)生命学院,(085400)(专业学位)电子信息,(07)生物医学工程,全日制,"('专业：11(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(802)信号理论基础
180,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(825)分子生物学
181,,统考,(321)医工融合研究院,(085400)(专业学位)电子信息,(02)光学工程,全日制,"('专业：4(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(811)电子技术（含模拟数字部分）
182,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(819)物理光学
183,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(820)应用光学
184,,统考,(321)医工融合研究院,(085400)(专业学位)电子信息,(04)计算机技术,全日制,"('专业：4(不含推免)',6",(101)思想政治理论,(201)英语一,(302)数学二,(889)计算机技术专业基础综合
185,,统考,(321)医工融合研究院,(085400)(专业学位)电子信息,(07)生物医学工程,全日制,"('专业：4(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(802)信号理论基础
186,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(825)分子生物学
188,,,,,,,,(111)单独考试思想政治理论,(241)英语,(611)数学,(819)物理光学
189,,,,,,,,(111)单独考试思想政治理论,(241)英语,(611)数学,(820)应用光学
191,,,,,,,,(111)单独考试思想政治理论,(241)英语,(611)数学,(882)电路、信号与系统
192,,,,,,,,(111)单独考试思想政治理论,(241)英语,(611)数学,(887)电子科学与技术基础
194,,,,,,,,(111)单独考试思想政治理论,(241)英语,(611)数学,(811)电子技术（含模拟数字部分）
195,中国农业大学,,,,,,,,,,
196,,统考,(308)信息与电气工程学院,(085400)(专业学位)电子信息,(01)电子与通信工程,全日制,"('专业：41(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(809)地理信息系统
197,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(816)数学分析
198,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(820)电路原理
199,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(821)数据结构
200,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(833)电子技术
201,,统考,(308)信息与电气工程学院,(085400)(专业学位)电子信息,(02)计算机技术,全日制,"('专业：41(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(809)地理信息系统
202,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(816)数学分析
203,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(820)电路原理
204,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(821)数据结构
205,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(833)电子技术
206,北京师范大学,,,,,,,,,,
207,南开大学,,,,,,,,,,
208,,统考,(031)电子信息与光学工程学院,(085400)(专业学位)电子信息,(01)光学工程,全日制,"('专业：7(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(807)光学基础
209,,统考,(031)电子信息与光学工程学院,(085400)(专业学位)电子信息,(02)电子与通信工程,全日制,"('专业：7(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(808)信号与系统
210,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(809)半导体物理
211,,统考,(031)电子信息与光学工程学院,(085400)(专业学位)电子信息,(03)集成电路工程,全日制,"('专业：7(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(810)电路综合
212,,统考,(033)人工智能学院,(085400)(专业学位)电子信息,(01)控制工程,全日制,"('专业：5(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(814)自动控制原理
213,,统考,(035)计算机学院,(085400)(专业学位)电子信息,(01)计算机技术,全日制,"('专业：1(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(408)计算机学科专业基础综合
214,,统考,(037)网络空间安全学院,(085400)(专业学位)电子信息,(01)计算机技术,全日制,"('专业：1(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(408)计算机学科专业基础综合
215,,统考,(038)软件学院,(085400)(专业学位)电子信息,(01)软件工程,全日制,"('专业：3(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(816)C语言与数据结构
217,天津大学,,,,,,,,,,
218,,统考,(202)精密仪器与光电子工程学院,(085400)(专业学位)电子信息,(01)光学工程,全日制,"('专业：137(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(806)测控技术基础
219,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(807)工程光学与光电子学基础
220,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(810)生物医学工程基础
221,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(814)通信原理
222,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(815)信号与系统
223,,统考,(202)精密仪器与光电子工程学院,(085400)(专业学位)电子信息,(02)光电子技术,全日制,"('专业：137(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(807)工程光学与光电子学基础
224,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(810)生物医学工程基础
225,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(811)电路
226,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(815)信号与系统
227,,,,,,,,(101)思想政治理论,(201)英语一,(301)数学一,(837)量子力学
228,,统考,(202)精密仪器与光电子工程学院,(085400)(专业学位)电子信息,(03)仪器仪表工程,全日制,"('专业：137(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(803)机械原理与机械设计
